2011-10-19 01:12:58 Warning: Warning (512): /var/www/manager.socci/app/tmp/cache/ is not writable in [/var/www/manager.socci/cake/libs/cache/file.php, line 267]
2011-10-19 01:12:58 Warning: Warning (512): /persistent/ is not writable in [/var/www/manager.socci/cake/libs/cache/file.php, line 267]
2011-10-19 01:12:58 Warning: Warning (512): /models/ is not writable in [/var/www/manager.socci/cake/libs/cache/file.php, line 267]
2011-10-27 22:55:14 Warning: Warning (512): /www/manager.local/app/tmp/cache/models/ is not writable in [/www/manager.local/cake/libs/cache/file.php, line 267]
2011-10-27 22:55:40 Warning: Warning (512): /www/manager.local/app/tmp/cache/models/ is not writable in [/www/manager.local/cake/libs/cache/file.php, line 267]
2011-10-27 22:55:42 Warning: Warning (512): /www/manager.local/app/tmp/cache/models/ is not writable in [/www/manager.local/cake/libs/cache/file.php, line 267]
2011-10-27 23:29:00 Warning: Warning (512): /www/manager.local/app/tmp/cache/persistent/ is not writable in [/www/manager.local/cake/libs/cache/file.php, line 267]
2011-10-27 23:29:00 Warning: Warning (512): /www/manager.local/app/tmp/cache/models/ is not writable in [/www/manager.local/cake/libs/cache/file.php, line 267]
2011-10-27 23:44:36 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:45:16 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:45:16 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:47:40 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:47:41 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:35 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:35 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:35 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:35 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:37 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:37 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:37 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
2011-10-27 23:48:37 Error: Fatal Error (256): ConnectionManager::getDataSource - Non-existent data source db_entidades in [/www/manager.local/cake/libs/model/connection_manager.php, line 102]
